Title,Date Written,Rating,Current/Former,Job Title,Location,Recommendation?,Outlook,Main Text,Pros,Cons
People make the difference,"Apr 7, 2021 ",5.0,Current, PwC Senior Associate,,Recommend,Business Outlook,Share,Culture of support nurtures career growth. Huge investment in technology.,"If you are really good at your job, sometimes means more work. Or, less likely to get new opportunities DEPENDING on group. Does not apply across all line of services."
ot,"Jun 30, 2021 ",3.0,Current, Senior Auditor,,Recommend,Business Outlook,Share,"reputation, reputation, brand name and name on resume","too much OT, too much politics"
5,"May 10, 2021 ",5.0,Former, Program Manager,,Recommend,Business Outlook,Share,"professional environment, standard salary, equal","time demanding, pressure, limited skillset"
Travel,"May 8, 2021 ",4.0,Former, Associate,,Recommend,Business Outlook,Share,"Expensing, multiple clients/industries, team is fun",Traveling weekly cross country for a year
Many opportunities of growth,"May 7, 2021 ",5.0,Former, Associate,,Recommend,Business Outlook,Share,"Growth, salary, bonus, colleagues, clients",Sometimes gets overwhelming with work
Great for growth.,"May 5, 2021 ",4.0,Former, Tax Manager,,Recommend,Business Outlook,Share,Good technology and competent people.,"Pay could be better, but I am satisfied overall."
Great place to work,"May 5, 2021 ",5.0,Current, Manager,,Recommend,Business Outlook,Share,Professional opportunities - diversity and inclusion,"Pay, compensation, bonus, work life balance"
great first job,"May 1, 2021 ",4.0,Current, Assurance Associate,,Recommend,Business Outlook,Share,-learn a lot -working with smart people -able to be exposed to many different industries,-poor work life balance -unbelievable stress
Great,"May 8, 2021 ",5.0,Current, Staff Accountant,,Recommend,Business Outlook,Share,Loved the atmosphere and ppl,"No room for growth, management sucked"
Great colleagues,"May 6, 2021 ",4.0,Former, Risk Manager,,Recommend,Business Outlook,Share,Demanding but worked with great colleagues,Long hours and Tough work life balance
A Place to Grow,"May 4, 2021 ",5.0,Current, Senior Associate,,Recommend,Business Outlook,Share,There are a lot of opportunities.,The volume of the work
Great place to develop consulting skills,"Apr 27, 2021 ",5.0,Former, Manager,,Recommend,Business Outlook,Share,"Smart people, resources, pay, career advancement","Long hours, office politics, employee training"
Great place to start your career,"Apr 28, 2021 ",4.0,Former, Senior Associate,,Recommend,Business Outlook,Share,"Good benefits, smart colleagues, opportunity to get involved with extracurriculars","Work life balance, ability to transfer functions"
PwC,"May 3, 2021 ",4.0,Current, Audit Associate,,Recommend,Business Outlook,Share,Always learning new things and can experience interesting opportunities,Experience directly relates to job assigned to randomly
"Good Company, high expectations","Apr 29, 2021 ",4.0,Current, Advisory Senior Manager,,Recommend,Business Outlook,Share,Good pay that seems competitive for the market,"Difficult work life balance, high expectations to invest your time."
A good place to work and gain some experience,"Jan 27, 2021 ",4.0,Current, Senior Technical Consultant,,Recommend,Business Outlook,Share,- Range of opportunities considering the firm does everything under the roof. - Supports your growth by encouraging certifications. - You get to meet a lot of talented people who are willing to coach you.,"- The person representing you at the career roundtable discussions may not know a lot of what you do but is responsible for your growth in the firm. You will have to go the extra mile to get recognized and promoted. - There is a lot of emphasis on work life balance, but the reality is far away from providing you that."
Great Position,"Apr 22, 2021 ",5.0,Current, Risk Consultant Analyst,,Recommend,Business Outlook,Share,Fantastic starting job fresh out of college. Easy ladder to climb if you stick it out.,Little client interaction. Not the best for transferable skills.
Good place to work,"May 6, 2021 ",4.0,Former, Manager,,Recommend,Business Outlook,Share,The people are very smart,The bonuses were quite small.
PwC Review,"May 6, 2021 ",4.0,Current, Tax Manager,,Recommend,Business Outlook,Share,"The People, technology, and knowledge",Overtime during tax season is pretty brutal.
Pros and Cons,"May 6, 2021 ",4.0,Current, Senior Associate,,Recommend,Business Outlook,Share,Good people and interesting projects,Long hours with no WLB
Love this company,"Apr 26, 2021 ",5.0,Current, PwC Risk Assurance Associate,,Recommend,Business Outlook,Share,Work life balance and great benefits,Busy season depending on client can be long hours
Great place to work,"May 3, 2021 ",4.0,Former, Audit Senior Manager,,Recommend,Business Outlook,Share,Supportive leadership who recognise hard work. Flexibility,Extremely long hours during busy season
Pretty stressful but great perks,"Apr 28, 2021 ",4.0,Current, Senior Associate,,Recommend,Business Outlook,Share,The perks are really great especially for working moms,The demands of the Job are really high.
Good company,"Apr 28, 2021 ",5.0,Former, Manager,,Recommend,Business Outlook,Share,"Good company, motivating workforce, smart people",Grind and lifestyle of partner may not be worth it in long run
PwC is a great place to work for,"Apr 29, 2021 ",5.0,Current, Audit Senior Associate,,Recommend,Business Outlook,Share,"vacation balance, great maternity and paternity benefits",busy season is very tough
Review,"Apr 30, 2021 ",4.0,Current, Senior Associate,,Recommend,Business Outlook,Share,"working with people around your age, leadership opportunities early on in your career",long hours for no extra pay
Good company to work for,"Apr 25, 2021 ",4.0,Current, PwC Assurance Associate,,Recommend,Business Outlook,Share,Learned a lot and made connections,"There is no such thing as work-life balance, regardless of what management says."
Good employer,"May 6, 2021 ",5.0,Current, Senior Consultant,,Recommend,Business Outlook,Share,Yes Be well. work well.,Yes Can get really stressful
Scattered environment,"May 6, 2021 ",4.0,Current, Business Intelligence Developer,,Recommend,Business Outlook,Share,Good benefits. Work from home.,"Too many Chiefs, not enough Indians."
None,"May 5, 2021 ",4.0,Current, Associate,,Recommend,Business Outlook,Share,Everyone is around my age. Good experience,Poor work/life balance. Salary is sad
M&A Tax,"Jun 29, 2021 ",3.0,Current, Senior Associate,,Recommend,Business Outlook,Share,Great resume builder and career launchpad,Poor incentive and compensation structure
Great Company,"Apr 27, 2021 ",5.0,Current, Project Management Associate,,Recommend,Business Outlook,Share,"Great benefits, training, growth opportunities","High-stress environment depending on which engagement you’re with, long hours, high expectations for delivery."
Worse leadership EVER!,"Jun 23, 2021 ",1.0,Former, International Tax Director,,Recommend,Business Outlook,Share,The salary and benefits compared to other CPA firms was good but not as good as industry.,Overworked....dog eat dog type of atmosphere....total lack of leadership
Great opportunities! Busy Season is rough!,"Apr 23, 2021 ",4.0,Current, State and Local Tax Manager,,Recommend,Business Outlook,Share,Great opportunities and lots of resources at your disposal!,Busy season can have crazy hours and we're often understaffed
Company review,"Jun 16, 2021 ",3.0,Former, Associate,,Recommend,Business Outlook,Share,"Good salary, good exposure, good learning and skill development",No work life balance during busy season which is 10 months in year
Progressive,"May 6, 2021 ",5.0,Current, Assurance Associate,,Recommend,Business Outlook,Share,Great place to grow professionally,No complaints at this point
It's a good place to develop your audit/accounting skills,"Apr 26, 2021 ",4.0,Former, Senior Associate,,Recommend,Business Outlook,Share,"Great learning opportunities, especially with the automation tools/applications",Long hours during busy season
fdfs,"Jun 29, 2021 ",3.0,Current, IFS Manager,,Recommend,Business Outlook,Share,"flexible, diverified; technical, available, developmental","low bonuses, a lot of work"
experienced associate,"May 2, 2021 ",5.0,Current, Accountant,,Recommend,Business Outlook,Share,love pwc and culture with people,nothing is wrong with the firm
"No work-life balance, only work if workaholic","Apr 5, 2021 ",3.0,Former, Core Assurance Associate,,Recommend,Business Outlook,Share,"Great health benefits, 401k with matching, rewards program for going to dr appointments and exercising per month, company discounts, a lot of training","Sometimes puts first years on an IPO (at least in the Bay Area), too fast-paced, working 50+ hours, works Saturdays and maybe half Sundays. Sometimes don't get off until 10 pm, if lucky. IPO sometimes pull all-nighters the day before even sleep in the office. If you love auditing, don't mind the over time, don't mind your schedule being flipped around, are a workaholic/are in love with auditing, then work in Public Accounting."
